frame number,image_height,image_width,publisher_sent,subscriber_received,frequency,latency,packets_receieved_count,transport
67,10,10,1705262094032485573,1705262094033035607,5,550034,134,2
68,10,10,1705262094232685971,1705262094233037326,5,351355,135,2
68,10,10,1705262094232685971,1705262094233203003,5,517032,136,2
69,10,10,1705262094433005376,1705262094433491073,5,485697,137,2
69,10,10,1705262094433005376,1705262094433653083,5,647707,138,2
70,10,10,1705262094633429122,1705262094634060494,5,631372,139,2
70,10,10,1705262094633429122,1705262094634253506,5,824384,140,2
71,10,10,1705262094834392567,1705262094834768924,5,376357,141,2
71,10,10,1705262094834392567,1705262094834965269,5,572702,142,2
72,10,10,1705262095035173668,1705262095035524023,5,350355,143,2
72,10,10,1705262095035173668,1705262095035679699,5,506031,144,2
73,10,10,1705262095235864430,1705262095236199450,5,335020,145,2
73,10,10,1705262095235864430,1705262095236350126,5,485696,146,2
74,10,10,1705262095436530857,1705262095436858544,5,327687,147,2
74,10,10,1705262095436530857,1705262095437053222,5,522365,148,2
75,10,10,1705262095637231952,1705262095637537971,5,306019,149,2
75,10,10,1705262095637231952,1705262095637719316,5,487364,150,2
76,10,10,1705262095837847710,1705262095838197398,5,349688,151,2
76,10,10,1705262095837847710,1705262095838365742,5,518032,152,2
77,10,10,1705262096038518137,1705262096038863158,5,345021,153,2
77,10,10,1705262096038518137,1705262096039078505,5,560368,154,2
78,10,10,1705262096239238234,1705262096239531586,5,293352,155,2
78,10,10,1705262096239238234,1705262096239698596,5,460362,156,2
79,10,10,1705262096439847658,1705262096440136676,5,289018,157,2
79,10,10,1705262096439847658,1705262096440295686,5,448028,158,2
80,10,10,1705262096640439414,1705262096640875107,5,435693,159,2
80,10,10,1705262096640439414,1705262096641107122,5,667708,160,2
81,10,10,1705262096841283518,1705262096841595538,5,312020,161,2
81,10,10,1705262096841283518,1705262096841757548,5,474030,162,2
82,10,10,1705262097041927278,1705262097042240630,5,313352,163,2
82,10,10,1705262097041927278,1705262097042402307,5,475029,164,2
83,10,10,1705262097242553369,1705262097242827386,5,274017,165,2
83,10,10,1705262097242553369,1705262097243012397,5,459028,166,2
84,10,10,1705262097443161793,1705262097443499814,5,338021,167,2
84,10,10,1705262097443161793,1705262097443666824,5,505031,168,2
85,10,10,1705262097643825553,1705262097644373587,5,548034,169,2
85,10,10,1705262097643825553,1705262097644586267,5,760714,170,2
86,10,10,1705262097844787999,1705262097845148688,5,360689,171,2
86,10,10,1705262097844787999,1705262097845327365,5,539366,172,2
87,10,10,1705262098045484428,1705262098045797781,5,313353,173,2
87,10,10,1705262098045484428,1705262098045993793,5,509365,174,2
88,10,10,1705262098246152522,1705262098246420872,5,268350,175,2
88,10,10,1705262098246152522,1705262098246567214,5,414692,176,2
89,10,10,1705262098446708943,1705262098447162637,5,453694,177,2
89,10,10,1705262098446708943,1705262098447357316,5,648373,178,2
90,10,10,1705262098647527046,1705262098647851399,5,324353,179,2
90,10,10,1705262098647527046,1705262098648056746,5,529700,180,2
91,10,10,1705262098848208474,1705262098848483491,5,275017,181,2
91,10,10,1705262098848208474,1705262098848630167,5,421693,182,2
92,10,10,1705262099048775229,1705262099049078581,5,303352,183,2
92,10,10,1705262099048775229,1705262099049237258,5,462029,184,2
93,10,10,1705262099249383986,1705262099249675338,5,291352,185,2
93,10,10,1705262099249383986,1705262099249840348,5,456362,186,2
94,10,10,1705262099450010744,1705262099450703454,5,692710,187,2
94,10,10,1705262099450010744,1705262099451010140,5,999396,188,2
95,10,10,1705262099651371882,1705262099651932583,5,560701,189,2
95,10,10,1705262099651371882,1705262099652162597,5,790715,190,2
96,10,10,1705262099852400998,1705262099852977034,5,576036,191,2
96,10,10,1705262099852400998,1705262099853184713,5,783715,192,2
97,10,10,1705262100053403113,1705262100053980816,5,577703,193,2
97,10,10,1705262100053403113,1705262100054254833,5,851720,194,2
98,10,10,1705262100254495901,1705262100255032934,5,537033,195,2
98,10,10,1705262100254495901,1705262100255233280,5,737379,196,2
99,10,10,1705262100455442012,1705262100455748031,5,306019,197,2
99,10,10,1705262100455442012,1705262100455942043,5,500031,198,2
100,10,10,1705262100656131775,1705262100656432126,5,300351,199,2
100,10,10,1705262100656131775,1705262100656612471,5,480696,200,2
101,10,10,1705262100775553504,1705262100775954862,10,401358,201,2
101,10,10,1705262100775553504,1705262100776158875,10,605371,202,2
102,10,10,1705262100876292076,1705262100876600762,10,308686,203,2
102,10,10,1705262100876292076,1705262100876776439,10,484363,204,2
103,10,10,1705262100976922642,1705262100977209326,10,286684,205,2
103,10,10,1705262100976922642,1705262100977375670,10,453028,206,2
104,10,10,1705262101077501204,1705262101077778554,10,277350,207,2
104,10,10,1705262101077501204,1705262101077979567,10,478363,208,2
105,10,10,1705262101178115102,1705262101178417121,10,302019,209,2
105,10,10,1705262101178115102,1705262101178582131,10,467029,210,2
106,10,10,1705262101278707665,1705262101279002017,10,294352,211,2
106,10,10,1705262101278707665,1705262101279150359,10,442694,212,2
107,10,10,1705262101379267893,1705262101379522242,10,254349,213,2
107,10,10,1705262101379267893,1705262101379666584,10,398691,214,2
108,10,10,1705262101479789452,1705262101480231813,10,442361,215,2
108,10,10,1705262101479789452,1705262101480427491,10,638039,216,2
109,10,10,1705262101580574694,1705262101580891380,10,316686,217,2
109,10,10,1705262101580574694,1705262101581082392,10,507698,218,2
110,10,10,1705262101681204926,1705262101681489277,10,284351,219,2
110,10,10,1705262101681204926,1705262101681655621,10,450695,220,2
111,10,10,1705262101781783822,1705262101782056172,10,272350,221,2
111,10,10,1705262101781783822,1705262101782200847,10,417025,222,2
112,10,10,1705262101882319048,1705262101882555063,10,236015,223,2
112,10,10,1705262101882319048,1705262101882694071,10,375023,224,2
113,10,10,1705262101982816605,1705262101983086289,10,269684,225,2
113,10,10,1705262101982816605,1705262101983227631,10,411026,226,2
114,10,10,1705262102083351832,1705262102083593180,10,241348,227,2
114,10,10,1705262102083351832,1705262102083729522,10,377690,228,2
115,10,10,1705262102183849389,1705262102184118739,10,269350,229,2
115,10,10,1705262102183849389,1705262102184265748,10,416359,230,2
116,10,10,1705262102284379615,1705262102284627964,10,248349,231,2
116,10,10,1705262102284379615,1705262102284769306,10,389691,232,2
117,10,10,1705262102384884840,1705262102385130855,10,246015,233,2
117,10,10,1705262102384884840,1705262102385266530,10,381690,234,2
118,10,10,1705262102485381064,1705262102485828092,10,447028,235,2
118,10,10,1705262102485381064,1705262102486069106,10,688042,236,2
119,10,10,1705262102586210975,1705262102586519661,10,308686,237,2
119,10,10,1705262102586210975,1705262102586676671,10,465696,238,2
120,10,10,1705262102686796871,1705262102687103224,10,306353,239,2
120,10,10,1705262102686796871,1705262102687260567,10,463696,240,2
121,10,10,1705262102787381101,1705262102787650117,10,269016,241,2
121,10,10,1705262102787381101,1705262102787793126,10,412025,242,2
122,10,10,1705262102887931662,1705262102888211679,10,280017,243,2
122,10,10,1705262102887931662,1705262102888355021,10,423359,244,2
123,10,10,1705262102988471222,1705262102988721904,10,250682,245,2
123,10,10,1705262102988471222,1705262102988872246,10,401024,246,2
124,10,10,1705262103089029783,1705262103089262464,10,232681,247,2
124,10,10,1705262103089029783,1705262103089400806,10,371023,248,2
125,10,10,1705262103189518340,1705262103189752688,10,234348,249,2
125,10,10,1705262103189518340,1705262103189889029,10,370689,250,2
126,10,10,1705262103290032232,1705262103290259579,10,227347,251,2
126,10,10,1705262103290032232,1705262103290390254,10,358022,252,2
127,10,10,1705262103390503121,1705262103390729801,10,226680,253,2
