frame number,image_height,image_width,publisher_sent,subscriber_received,frequency,latency,packets_receieved_count,transport
93,10,10,1705849222609936711,1705849222810955359,5,201018648,185,1
93,10,10,1705849222609936711,1705849222811180373,5,201243662,186,1
94,10,10,1705849222810535001,1705849223011273633,5,200738632,187,1
94,10,10,1705849222810535001,1705849223011514647,5,200979646,188,1
95,10,10,1705849223010789271,1705849223211780584,5,200991313,189,1
95,10,10,1705849223010789271,1705849223212052267,5,201262996,190,1
96,10,10,1705849223211128545,1705849223411776839,5,200648294,191,1
96,10,10,1705849223211128545,1705849223412055855,5,200927310,192,1
97,10,10,1705849223411313478,1705849223612179450,5,200865972,193,1
97,10,10,1705849223411313478,1705849223612379796,5,201066318,194,1
98,10,10,1705849223611602083,1705849223812473056,5,200870973,195,1
98,10,10,1705849223611602083,1705849223812669734,5,201067651,196,1
99,10,10,1705849223811824350,1705849224013092681,5,201268331,197,1
99,10,10,1705849223811824350,1705849224022891931,5,211067581,198,1
100,10,10,1705849224012367637,1705849224732103871,5,719736234,199,1
100,10,10,1705849224012367637,1705849224732336885,5,719969248,200,1
101,10,10,1705849224129853640,1705849224732496228,10,602642588,201,1
101,10,10,1705849224129853640,1705849224732635236,10,602781596,202,1
102,10,10,1705849224229953607,1705849224732770911,10,502817304,203,1
102,10,10,1705849224229953607,1705849224732900252,10,502946645,204,1
103,10,10,1705849224330045239,1705849224733066262,10,403021023,205,1
103,10,10,1705849224330045239,1705849224733208270,10,403163031,206,1
104,10,10,1705849224430098870,1705849224733343278,10,303244408,207,1
104,10,10,1705849224430098870,1705849224733473953,10,303375083,208,1
105,10,10,1705849224530148833,1705849224733614628,10,203465795,209,1
105,10,10,1705849224530148833,1705849224733738969,10,203590136,210,1
106,10,10,1705849224630206131,1705849224831308118,10,201101987,211,1
106,10,10,1705849224630206131,1705849224831524797,10,201318666,212,1
107,10,10,1705849224730623450,1705849224932603489,10,201980039,213,1
107,10,10,1705849224730623450,1705849224932827169,10,202203719,214,1
108,10,10,1705849224830849090,1705849225032925802,10,202076712,215,1
108,10,10,1705849224830849090,1705849225033182484,10,202333394,216,1
109,10,10,1705849224931217073,1705849225132556074,10,201339001,217,1
109,10,10,1705849224931217073,1705849225132765086,10,201548013,218,1
110,10,10,1705849225031437713,1705849225233012062,10,201574349,219,1
110,10,10,1705849225031437713,1705849225233295745,10,201858032,220,1
111,10,10,1705849225131927370,1705849225333302039,10,201374669,221,1
111,10,10,1705849225131927370,1705849225333494384,10,201567014,222,1
112,10,10,1705849225232463029,1705849225434392398,10,201929369,223,1
112,10,10,1705849225232463029,1705849225434596744,10,202133715,224,1
113,10,10,1705849225332805010,1705849225534206681,10,201401671,225,1
113,10,10,1705849225332805010,1705849225534421694,10,201616684,226,1
114,10,10,1705849225433195660,1705849225634556663,10,201361003,227,1
114,10,10,1705849225433195660,1705849225634772009,10,201576349,228,1
115,10,10,1705849225533413634,1705849225734887310,10,201473676,229,1
115,10,10,1705849225533413634,1705849225735137991,10,201724357,230,1
116,10,10,1705849225634064633,1705849225835413302,10,201348669,231,1
116,10,10,1705849225634064633,1705849225835605313,10,201540680,232,1
117,10,10,1705849225734428616,1705849225936101970,10,201673354,233,1
117,10,10,1705849225734428616,1705849225936306315,10,201877699,234,1
118,10,10,1705849225834716260,1705849226036408615,10,201692355,235,1
118,10,10,1705849225834716260,1705849226036619295,10,201903035,236,1
